confidence,entropy,activation_mean,activation_std,activation_max,activation_min,failure
0.6937357,1.1129762,0.37060612,0.4895517,3.1458063,0.0,0
0.6843366,0.8685621,1.0743818,1.3079017,6.743712,0.0,0
0.8253815,0.5806707,0.6958261,0.8331678,4.562689,0.0,0
0.9718778,0.17035627,0.51035094,0.7513642,3.6959817,0.0,0
0.7595812,0.774034,0.6082804,0.9221966,4.6024885,0.0,0
0.85397774,0.5623457,0.55602086,0.741599,3.9629474,0.0,0
0.511401,1.2382061,0.49124134,0.6828839,4.0121026,0.0,1
0.77872807,0.6813778,0.54390967,0.75630295,4.8980503,0.0,0
0.6038074,1.2174647,0.4245251,0.5535331,2.7305224,0.0,0
0.5433381,0.7217139,0.5536983,0.85598147,4.3149405,0.0,1
0.97031623,0.17241944,0.7245529,0.97072965,5.119881,0.0,0
0.9964966,0.024577817,0.6690878,1.103721,5.994734,0.0,0
0.37799862,1.5697591,0.44947115,0.5686137,2.6612191,0.0,1
0.9604225,0.22238491,0.5766747,0.7595684,4.5763316,0.0,0
0.9868869,0.083014406,0.53296125,0.850637,5.1695595,0.0,0
0.93848956,0.3281198,0.72978854,0.91235644,4.5775247,0.0,0
0.59108186,1.0654126,0.5278993,0.71684754,3.7406673,0.0,0
0.89032006,0.5242652,0.4683223,0.6379536,3.632125,0.0,0
0.9898985,0.06742271,1.538141,1.8838376,7.7512074,0.0,0
0.89374346,0.508442,0.5157565,0.6656787,4.1683497,0.0,0
0.9768411,0.14066696,0.58212644,0.8084606,4.5690475,0.0,0
0.8288328,0.5457435,0.5903902,1.0101024,5.1661596,0.0,0
0.644258,1.0508186,0.7787911,0.94925237,5.5604043,0.0,1
0.9566695,0.1802798,0.70179415,1.0989671,6.0768995,0.0,0
0.90675324,0.38890713,0.5871539,0.80511236,5.0578413,0.0,1
0.3404268,1.5427835,0.41306826,0.52626735,2.7833016,0.0,1
0.500742,1.2606343,0.47134155,0.62264913,3.4376788,0.0,0
0.41152814,1.2690376,0.4443197,0.6026062,3.5256114,0.0,1
0.9058028,0.4235831,0.43356586,0.62733954,3.6356976,0.0,0
0.9339767,0.3148403,0.5989315,0.8607148,5.26376,0.0,0
0.7590787,0.8815844,0.5393954,0.682606,3.1825936,0.0,0
0.8548551,0.5842391,0.5079992,0.7073995,4.9213953,0.0,0
0.5546893,1.3647695,0.41302586,0.5929012,3.1681707,0.0,1
0.7376783,0.9609409,0.49638462,0.65196276,3.352111,0.0,1
0.96903765,0.1927276,0.48333892,0.7136613,4.313794,0.0,0
0.6926196,0.9131329,0.49209294,0.6572026,3.878389,0.0,1
0.91243184,0.39299035,0.663911,0.90231675,5.6761885,0.0,0
0.7489368,0.76289034,0.43830627,0.61302054,3.0016108,0.0,1
0.9967631,0.027117927,0.5797175,0.92018795,5.238192,0.0,0
