confidence,entropy,margin,brightness,blur,failure
0.99875116,0.011243275,0.9980043,-0.24041182,0.0023282477632164955,0
0.9999945,7.535609e-05,0.9999902,0.6717583,0.002219212707132101,0
0.9954218,0.030895848,0.99123204,0.23211405,0.0014368980191648006,0
0.9796353,0.107985325,0.96094275,0.6656302,0.0019359117140993476,0
0.99996316,0.00045592262,0.9999369,-0.2595729,0.002248687669634819,0
0.999894,0.0011694245,0.99981385,-0.44896942,0.0013478707987815142,0
0.9642578,0.17211501,0.9322057,-0.88202494,0.0027417312376201153,0
0.99990785,0.0011071452,0.99987805,-0.66261786,0.0008493114728480577,0
0.99997056,0.00036737396,0.99994975,0.7618662,0.0011953547364100814,0
0.9988121,0.010258255,0.99790263,0.457882,0.0025637943763285875,0
0.9781828,0.13790213,0.9696413,0.3842451,0.0007847704691812396,0
0.9993197,0.006811548,0.99913025,0.22165358,0.003746982663869858,0
0.9956126,0.031232674,0.99205613,-0.54525244,0.0013675744412466884,0
0.9886981,0.06500409,0.97796535,-0.9233222,0.004181958269327879,0
0.9999188,0.0009571533,0.9998713,-0.21754651,0.003426710842177272,0
0.99985766,0.0014337172,0.99972063,0.12988627,0.002234729938209057,0
0.8952223,0.460451,0.8265551,0.13743915,0.0021727068815380335,0
0.9974171,0.022154113,0.996257,0.20294374,0.0018273546593263745,0
0.9994547,0.005465031,0.9992327,0.35917917,0.0017427051207050681,0
0.9999969,4.902034e-05,0.9999954,-0.22997813,0.002056586556136608,0
0.9063292,0.47939044,0.88296264,-0.11673386,0.003073881845921278,0
0.9974245,0.021039672,0.9958217,1.8831606,0.0022889364045113325,0
0.75507915,0.8451357,0.6361279,-0.7971155,0.00046193896559998393,0
0.9993144,0.0063661076,0.9988025,-0.4446054,0.004328833427280188,0
0.9083711,0.40331802,0.8482405,0.38403893,0.0013788760406896472,0
0.8243288,0.7380289,0.76501137,-0.17445815,0.001571412431076169,0
0.9927286,0.0517698,0.9890762,-0.46513054,0.001215595519170165,0
0.99980015,0.002274841,0.9997491,0.27295107,0.0012111676624044776,0
0.99958175,0.004153625,0.99931294,0.14028445,0.0033059301786124706,0
0.999995,7.4763695e-05,0.99999297,-0.8461479,0.0014020138187333941,0
0.99998736,0.0001742998,0.99998236,-1.1729238,0.0012720759259536862,0
0.9916931,0.06047744,0.9882128,0.079495594,0.0006071231327950954,0
0.99518114,0.036570877,0.99282426,0.1384788,0.0014490061439573765,0
0.9912362,0.062487848,0.9861083,-0.046676215,0.0013590027811005712,0
